id,URL,Duration (sec),input_token,output_token,execution_time_sec
407,https://www.youtube.com/watch?v=3ftpA1QDudY,984,31647,65526,255.7
413,https://www.youtube.com/watch?v=rHUYhWwkzcc,431,13956,1598,16.96
419,https://www.youtube.com/watch?v=i0eFzEkVl9M,1461,46920,34273,144.91
435,https://www.youtube.com/watch?v=OwGyADJ1Udg,1125,36143,13712,128.26
459,https://www.youtube.com/watch?v=EpJA9B7xbM8,1027,33022,12364,108.35
477,https://www.youtube.com/watch?v=46Yz91CErxQ,527,17017,4475,49.04
478,https://www.youtube.com/watch?v=DZ7Mu18fiuc,509,16445,4490,28.45
479,https://www.youtube.com/watch?v=HgtXmhK3I_0,869,27947,9301,93.13
480,https://www.youtube.com/watch?v=-o394jyTbUY,581,18734,7531,75.01
481,https://www.youtube.com/watch?v=rtoQWvMwZSE,963,30961,8755,297.23
483,https://www.youtube.com/watch?v=zSbWXs-Dbh4,497,16057,9005,56.95
489,https://www.youtube.com/watch?v=6kJ1ccCfubM,590,19044,8236,75.43
492,https://www.youtube.com/watch?v=EFN1DKBOlLg,484,15647,5420,57.62
493,https://www.youtube.com/watch?v=_wqjtxIHYxs,1236,39715,65526,392.16
496,https://www.youtube.com/watch?v=xC-vpcNKyTA,505,16297,5061,52.32
497,https://www.youtube.com/watch?v=ccHeyQ10oVE,491,15865,8213,44.68
500,https://www.youtube.com/watch?v=Noo4SCmCwjU,641,20668,10352,49.12
502,https://www.youtube.com/watch?v=kQBzVfs5tnI,812,26138,10233,97.89
504,https://www.youtube.com/watch?v=P1tbNQxaNLs,606,19529,5251,53.26
513,https://www.youtube.com/watch?v=0MqZJLqOH4I,737,23737,65526,515.77
514,https://www.youtube.com/watch?v=PIVSI7i4azA,1037,33330,65526,262.44
516,https://www.youtube.com/watch?v=hx4CVAsxPqM,899,28901,8851,87.62
518,https://www.youtube.com/watch?v=sef0h2yCqYM,753,24231,7400,55.63
520,https://www.youtube.com/watch?v=shRqPq8GmEc,854,27484,8242,91.36
